"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-03-31,71418,"31069","GA","Warner Robins","Houston","Perry",5172,105100,-0.0103578154425612,-0.0250463821892393,-0.0241411327762303,-0.0126367952938452,-0.000190096055157185,"2010-02","2010-Q1",115700,-0.0916162489196197,"2006-01"
2016-03-31,66141,"20018","DC","Washington","District of Columbia","Washington",5173,429600,-0.00739371534195933,-0.016032982134677,0.0539744847890088,0.0924449796595406,0.0206160966743412,"2015-12","2015-Q4",436600,-0.016032982134677,"2015-09"
2016-03-31,97551,"94089","CA","San Jose","Santa Clara","Sunnyvale",5174,926100,0.0131276665572694,0.0410296762589928,0.176597636894931,0.169670409948726,0.0355581006732912,"2016-03","2016-Q1",926100,0,"2016-03"
2016-03-31,93194,"80002","CO","Denver","Jefferson","Arvada",5175,289800,0.00905292479108635,0.0357398141529664,0.151370679380215,0.108178850932803,0.0354771194169949,"2016-03","2016-Q1",289800,0,"2016-03"
2016-03-31,79031,"48169","MI","Detroit","Livingston","Pinckney",5176,221700,0.0013550135501355,0.0054421768707483,0.0230733733271804,0.0682071368065835,-0.00521486854799991,"2005-11","2005-Q4",240600,-0.0785536159600998,"2003-08"
2016-03-31,59072,"03246","NH","Laconia","Belknap","Laconia",5177,150800,0.00332667997338656,0.0148048452220727,0.052337752965806,0.00227001936208349,-0.0277441034003799,"2006-03","2006-Q1",199800,-0.245245245245245,"2003-08"
2016-03-31,98001,"95133","CA","San Jose","Santa Clara","San Jose",5178,697600,0.0038854511440495,0.013658820110433,0.115802943058221,0.130975050296859,0.00960553162460176,"2016-03","2016-Q1",697600,0,"2016-03"
2016-03-31,65105,"17552","PA","Lancaster","Lancaster","Mount Joy",5179,172900,-0.000578034682080925,-0.00230813618003462,0.0140762463343109,0.00684752926894938,0.00359824848501678,"2007-04","2007-Q2",177200,-0.0242663656884876,"2006-10"
2016-03-31,98141,"95363","CA","Modesto","Stanislaus","Patterson",5180,279100,0.0046796256299496,0.0253490080822924,0.090234375,0.142462982102047,-0.0499494524237527,"2006-02","2006-Q1",467000,-0.402355460385439,"2003-11"
2016-03-31,99285,"97439","OR","Eugene","Lane","Florence",5181,227400,0.00353045013239188,0.0165400089405454,0.0896022999520843,0.0135506115737829,-0.016696293390188,"2006-12","2006-Q4",287100,-0.207941483803553,"2005-08"
